Unnamed: 0,source,question,answer,img_id,abnormility_location,abnormility_color
491,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3qz071u9ed6awtv,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
498,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3r3071u9bnjbpck,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; yellow; white
522,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3r7071u4iwl78ry,center; center-left; center-right; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
528,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3rb071u76w10eu7,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
555,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3rf071u3bj0eu8m,center; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
569,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3rj071u5pabhsg1,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; yellow; white
580,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3rn071u23tn2cc2,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
608,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl2s3rr071u0d0f3piv,center; center-right; lower-center; lower-right; upper-center; upper-right,pink; red; white; yellow
623,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3rv071u464g37xw,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
643,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3rz071uct37bliv,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; yellow; white
656,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3s3071ugtjy06xj,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; yellow; white
671,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3s7071u8agx3t4t,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
681,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sb071uhkrfhgt7,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
711,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sf071u5nxyezr2,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
723,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sj071u5wz74zhy,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
743,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sn071u6jb8eyyl,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
758,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sr071uc4152r95,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
778,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sv071u3qhw492a,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
790,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3sz071u3u7aelb1,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
803,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3t3071udcwfd8g1,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
816,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3t7071u351d62ys,center; center-right; lower-center; lower-left; lower-right; upper-center; upper-right,pink; red; white
849,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3tb071ue9wz6a16,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
861,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl3s3tf071uekna420b,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
879,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3tj071uakhw1bd9,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
886,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3tn071u0pfr2b9j,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
905,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3tr071u12w3g0nk,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
934,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3tv071ugdtudp1p,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
945,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3tz071u1ewe1zbv,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
954,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3u3071u2dfi4v58,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
981,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3u7071u1ccm7nxt,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
994,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3ub071u7ypd8d4h,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red
1007,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3uf071u8jle90s0,center; center-right; lower-center; lower-right; upper-center; upper-right,pink; red; white
1029,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3uj071u8so1gxth,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1047,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3un071uck4cg79b,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1068,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3ur071ucbq5ar57,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1087,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3uv071u4pdi22dx,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red
1102,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3uz071u7o0za9ab,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red
1117,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3v3071uf47na29u,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1129,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl4s3v7071u0fac2ztj,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1146,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vb071u5qsbatev,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1165,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vf071ugzju7lms,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1186,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vj071u7opg6tc0,center; center-left; lower-center; lower-left; upper-center; upper-left,pink; red; white
1198,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vn071u08159pwe,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1217,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vr071u7iil4yr1,center; center-left; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1225,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vv071u18ipbr2h,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1241,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3vz071ua6uggyz6,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1263,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3w3071u2e1ub3zb,center; center-right; lower-center; lower-right; upper-center; upper-right,pink; red; white
1289,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3w7071uh47a2dxy,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1302,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3wb071u5ekcdloz,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1310,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3wj071uhfhf8ijv,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1338,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3wn071ua5gg1mx6,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1355,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3wr071uaumg6d7n,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1363,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl5s3wv071u32becg92,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1389,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3x3071uh76zg7uy,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1401,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3x7071u8n2ibyi4,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1412,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xb071ufo9e9qg4,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1428,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xf071uhz1s3rac,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1453,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xj071uafbo0i5s,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1474,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xn071uhm0a3y1n,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1481,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xr071ufbe6hwzb,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1512,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xv071u8lpe4sj3,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1524,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3xz071ubrzzdd9a,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1544,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3y3071u6gxs1pgc,center; center-left; center-right; lower-center; lower-left; upper-center; upper-left; upper-right,pink; red
1552,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3y7071u9k638dv6,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1569,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3yb071u4x8bg1hq,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1589,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3yf071ugolc8gg0,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; yellow; white
1607,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3yj071u0108e4le,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1631,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl6s3yn071u1z4u1dh6,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1635,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3yr071u9kft4435,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1653,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3yv071u0z3o93jw,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1680,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3yz071u8j1a4nms,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1694,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3z3071u90yh7f7r,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; yellow
1716,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3z7071ugh7p0ke2,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1721,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zb071u5wdp4sgs,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1743,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zf071ueloh0xir,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1766,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zj071uadm3dpxy,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1783,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zn071u8ubx2rvn,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1796,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zr071uambb5w1s,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1812,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zv071u2ak0ee69,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1826,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s3zz071u3y0y2yxs,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1837,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s403071uhl071dze,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1853,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s407071u0j1bd6ly,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1881,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl7s40b071u50jx6183,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1903,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40f071u27wyhkha,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1909,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40j071u4rhhc5an,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1937,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40n071ua3uphnl3,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
1947,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40r071u2qub6auy,center; center-right; lower-center; lower-right; upper-center; upper-right,pink; red; white
1961,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40v071uhg55e4u9,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white; yellow
1981,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s40z071u0iu04nv7,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
1998,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s413071u63tn9z7t,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2013,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s417071u5nc66zi3,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2034,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41b071u9jv628nz,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
2046,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41f071u1zb7hwyy,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
2073,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41j071u1d8t428t,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2077,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41n071uanbv7xro,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2098,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41r071uhqlybr1o,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2109,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41v071u7owiec1u,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
2135,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s41z071u2siucxod,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2156,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl8s423071u90jodevy,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2172,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl9s427071ubtut8fyx,center; center-left; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,pink; red; white
2188,Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl9s42b071uhcii678h,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,pink; red; white
